subject,grade,press,year,lesson_number_cn,lesson_name,vocab_preview
國語,4,康軒版,113_2,七,未來的模樣,"惡,致,遷,均,配..."
國語,4,康軒版,113_2,八,動物老師的智慧,"厚,身懷絕技,獨,健步如飛,肢體..."
國語,4,康軒版,113_2,九,向太空出發,"測,億,署,催,翁..."
國語,4,康軒版,113_2,十,小青蛙想看海,"耗盡,豪,忽,瞧,灘..."
國語,4,康軒版,113_2,十一,窗前的月光,"孤,翻來覆去,春去秋來,皎潔,嫦娥..."
國語,4,康軒版,113_2,十二,如來佛的手掌心,"日日夜夜,壓住,齊天大聖,掏出,咒語..."
國語,4,翰林版,113_2,一,稻間鴨,"雄,苗,金燦燦,稻穗,季節..."
國語,4,翰林版,113_2,二,綠色魔法學校,"碳,煙囪,導覽,設計,悶熱..."
國語,4,翰林版,113_2,三,石虎兄妹,"朝,敏,橘,傍,捷..."
國語,4,翰林版,113_2,四,阿里棒棒,"共,餘,予,並列,召喚..."
國語,4,翰林版,113_2,五,快樂兒童日,"偶,主人翁,未來,人偶,家庭..."
國語,4,翰林版,113_2,六,阿公的秘密,"遍,潔,碎,簇,桐..."
國語,4,翰林版,113_2,七,棒球英雄夢,"壘,支,討,輸,反..."
國語,4,翰林版,113_2,八,夢幻全壘打,"愈,領,贏,挨罵,猶豫不決..."
國語,4,翰林版,113_2,九,單車遊日月潭,"途,捉,棧,似,透..."
國語,4,翰林版,113_2,十,孫悟空三借芭蕉扇,"椅子,芭,焰,擔,搧..."
國語,4,翰林版,113_2,十一,最後一片葉子,"磚牆,常春藤,嚴重,危急,醫生..."
國語,4,翰林版,113_2,十二,閱讀課,"布告欄,鐘聲,任務,收穫,踴躍..."
國語,5,南一版,113_2,一,穿越時空的味道,"盞,廳,純粹,入場券,書籤..."
國語,5,南一版,113_2,二,在黑暗中乘著音樂飛翔,"途,周遭,鑑,繽,席位..."
國語,5,南一版,113_2,三,色香味的陽光,"親吻,庫,澀,餘,瞥..."
國語,5,南一版,113_2,四,縣官審石頭,"沾,貪,饒,謀,老闆..."
